参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
__,仲有無？,點賣 ？ tg a1999sss,點賣法？Pm,14,22,,,有冇人有興趣賣下年ihouse 宿🙏🏻🙏🏻,,
__,有興 @elaine2020,Dm ed,,,,4,5,志文招女rm🥰,,
點解樹仁校長可以咁好☹️,Echo360講咗好耐啦🤗,比罷課不特止 仲會唔處分 上堂錄片比番學生☹️,,,,4,2,,,
有冇NA男係志文/知行可以幫手調宿🙏,你介吾介意幫幫手由知行->志文？🙈,NA知行想調宿🙏,,,,2,2,,,
有冇人想由紫霞調學思,加幾多錢都得有冇興趣同我換,換左未？,好似望科學園,9,17,,,,,
紫霞招rm,想問下有冇人有興趣調宿 加幾多錢都得,Ok thank you 👍🙏,你擔心無哂三人房嘅話可以send email比daisylihall.mc@gmail.com 同佢講番你part左rm 想住三人房 我睇佢封email有提到今日已經可以報三人房,8,15,,,,,
五高搵rm 女仔,tg: nic_leung,"或者pm, 我invite咗你",hello 你有無tg呀,2,6,,,,,
Teric Wong is me,Hi Teric!,On9 del app la,,,,1,1,,,
__,唔夜瞓即係幾點，會唔會帶人上嚟？,可摺可yo 唔夜訓 鍾意乾淨 樣貌中上,,,,3,3,NA freshman 知行想part roommate,,
NA志文year1招rm...,hi如果係男有冇興趣調宿？,Hi,男仔？,4,6,,,,,
有冇紫霞男既想住三人房,平過兩人房2000幾蚊,最好你都係摺讀啦,,,,2,2,,,
c,Sorry呀 岩岩琴晚搵到了🙇🙇,.,仲係咪搵緊rm?,9,15,,,招志文女rm,,
想知行換紫霞/紫霞換知行都得,PM傾？,紫霞>知行,有知行，想換紫霞,5,10,,,,,
高價急收新亞知行宿位,push,急求 高價收 價可議😭,想買😭,4,27,,,,,
招五低rm,push,利申：fm 12-2點訓 鍾意煲劇 聽歌 盡量想搵唔係太摺既 可以陪你傾計,,,,1,2,,,
有冇人賣紫霞男宿,推,推,推,2,5,,,,,
有冇新亞女仔收臨宿？,Tg: cu_hall 傾傾唔該晒🙇🏻‍♂️,SHAW，可收女蛇，會part床,,,,3,2,,,
[高價]有無人賣新亞/ihouse宿位？一個sem都得,Pm,Pm wantdaisyhall,想收新亞/ihouse宿位，可以淨係收sem2😢😢絕對高價,2,3,,,,,
五高有冇想換五低😭🙏🏻🙏🏻pls dm,想五低換五高,telegram: ctching724,我五低換五高,4,10,,,,,
CC換宿,五低求新suk or 五高telegram:ctching724,No sor fm:((,Yes,6,15,,,,,
高價收購紫霞女宿位 留tg,pish,,,,,,,,1,1
有冇人想志文轉學思？,靚☺️,你靚我就叫rm走，你啪我你柒就我走,😂,2,8,,,,,
__,唔好意思呀😣😣🙇,ugfhbook😉,有telegram 嗎,4,14,,,有無人想要唔知第幾手既大學通識FH書😂,,
搵知行rm,我唔識係呢度pm😂 你有冇用tg?,無問題啊,Hi 我都係摺 兩點先訓 但你介唔介意我一個星期可能有一兩日帶女屈蛇？,4,7,,,,,
求賣女宿 你出價！,Push,Tg: cu_hall,,,,2,2,,,
抽到知行宿，想換紫霞，跪求有意者pm,知行求換紫霞🙏🙏🙏😣,,,,,,,,1,1
賣紫霞男宿,有意pm,,,,,,,,1,1
__,有冇人可以直接賣宿位,有知行想換紫霞,仲有冇得換,8,11,,,紫霞男宿賣宿！,,
有冇人in dialogue with humanity放？,我有~有需要可以去睇我個post!,Pm me,Pmme,8,18,,,,,
有冇住紫霞嘅情侶想換房,推！！,推,推,3,7,,,,,
__,南區老人院有hall,we are shaw we don't have hall,冇所謂啦，橫掂罷課,13,15,,,南區冇宿,,
有冇UC女想伯/陳宿轉湯宿？,俾人派到湯宿4樓 唔想住咁高宜家想轉陳宿/伯宿,,,,,,,,1,1
UC 男嘅想陳宿轉湯宿,湯想換陳😂pm pls,湯想換陳！,有意pm我啦！急😢,3,3,,,,,
CC明華想換五高/低,Pushhhh,,,,,,,,1,1
點睇今年UC大組長,呢個都真,呢個真,識就知習總最好喎，唔係講笑,6,7,,,,,
快D報國宿la各位shaw嘅freshman bb,好正！,扑咗條女但唔認數果個呀嘛,國宿hallO大組長ah Hei好靚仔🤤🤤🤤,3,3,,,,,
⛄️,知行養雞都仲得,唔比人發現就得,近排愛上養魚 但又要入宿 想知可唔可以喺宿養魚,6,3,,,[無知一問]知行可唔可以養魚,,
__,我不嬲都唔明 對自己有要求化個妝好好睇睇咁有咩問題 又唔會影響到其他人 唔鍾意咪唔好睇 有陣時化妝純粹因為心情好 我地都冇資格去對其他人評頭論足,鬧既都唔同人 利申無乜意見,不嬲都係講唒㗎啦，同開槍又屌，唔開又屌一樣,30,53,,,好傷心，點解中大嘅女仔唔化妝？,,
光復香港,只可四字,831 渣打見,聯合組媽,10,13,,,,,
高價收shaw男國宿,有冇fm bb放啊,Wanna three,Want too,3,4,,,,,
cc求蛇主,想收蛇既可以留底tg/contact method點幾至兩點訓 無不良習慣 易話圍 半摺但要玩可玩,,,,,,,,1,1
招shaw roommate~,just fyi,男宿出邊做緊+3500喎,+1000 收男宿,3,6,,,,,
"yum dai hazel, deal or no deal",Deal，好緊,,,,,,,,1,1
求engine year 1 package source,www.taobao.com,😭,今年好似改咗啲嘢喎,5,6,,,,,
__,發夢用咗好多錢,今年有呀 CUSU Facebook有link登記 有登記就有得拎 :),,,,13,13,覺唔覺今年su本schedule book好高質,,
和聲二人換三人宿！,快啲覆啦 2點就deadline 啦😣,有冇人原本係三人房睇左二人房個格局心動想換呢？有就2點前pm我啦！,,,,1,2,,,
和聲四人宿換三人宿,有冇人想三人換二人 ！pm！,有興趣可以一齊夾四人宿🤣,Push,5,4,,,,,
和聲三人宿女roommates啊🎉,有冇人想三人換二人房 有意pm,@Eatbefat 我搵唔到你既account,你揾我啊@GloriaYeung,4,13,,,,,
有冇uc女恒生轉伯宿？,但係伯宿唔夠淫喎,Push,有冇人想換～,2,3,,,,,
機管局咁撚串，真係狗都不如,Block唒啲AA狗,仲有良知就快quit,,,,1,2,,,
哇！你真係好好笑！,咁shaw果個呢？,Bme嗰個好撚正常🌚🌚,On9仔嚟？,4,6,,,,,
__,無錯,exact7ly,都係果句，逐件事睇,6,5,,,黃定藍？,,
屬於中大人的開學禮,Black bloc,講笑咋 我會上gear去,以為係full gear去😂😂😂 ok thx,8,9,,,,,
農曆新年就到 點同屋企人交待自己仲係A0?,出入平安,一句講完 : 關你鬼事,無後為大,7,9,,,,,
返大陸intern,返大陸intern成班同內地接軌，開sem一齊杯鳩佢地！,,,,,,,,1,1
和聲大o係咪通知曬？,1,岩岩終於收到…,收到電話，但冇wtsapp grp🤔,5,13,,,,,
求女宿！,pm tg a1999sss,,,,,,,,1,1
☠,"招ws二人房男rm瞓覺時間可就，唔帶蛇。尊重對方私人空間。其他detail可再傾。有意lm, pm or tg @pearl0765",,,,,,,和聲二人房招男rm,1,
__,借個位黎。乾淨整齊，唔食煙，冇蛇仔。12點幾訓教，比較醒訓，所以希望rm都可以差唔多時間訓。有意tg:southkid,乾淨整齊大約1-2點瞓唔收蛇有意就pm / tg: hang1791,,,,3,3,求知行roommate,,
求賣和聲女宿🙇🏻‍♀️🙇🏻‍♀️,Push+1🙇🏻‍♀️,push,求+1😭😭😭😭,6,4,,,,,
__,昇爺！,how about sophia,＋2 bravo marvellous perfect,24,19,,,fh reg邊個靚grade?🙇🏻‍♀️,,
__,你可以一次過宣哂所有人嫁嘛lol,,,,,,,shaw報宿點樣宣誓？？？,7,13
有冇uc女想伯轉湯,我係伯宿 你搵唔搵到人轉恒生我想要恒生,我yr3派咗湯宿但唔想住三人房 想轉去伯宿有冇伯宿女仔想轉去湯宿可以同我調🙇🏼‍♀️🙇🏼‍♀️,,,,2,2,,,
Reg course,感謝 🙏🙇🏼‍♀️🙇🏼‍♀️🙇🏼‍♀️,我exempt 咗,abcd之間都係可以同時讀,4,11,,,,,
四條柱去旺角0330截,其實係for發夢定係平時用lol,hi,我唔知😂,6,12,,,,,
$50 放CLCP2703text book,唔該你,Hello 我pm左你,,,,4,7,,,
⛑,冇可能double major ahh利申：nursing仔,係cu讀7-8年應該得掛,聽人講nursing啲course pack得密 加上要實習 好難double major,4,5,,,有冇讀Nurs既ching同時double major到,,
招志文女rm,"或者tg kittysyan, 因為唔係成日check goop",傾下？,我要rm啊,3,4,,,,,
招人放Hall用二手雪櫃 約40-50L,你有二手雪櫃？,More details plz,Hello,3,4,,,,,
想知買宿流程係點,有冇人可以解答下 thanks,,,,,,,,3,1
⛹,大海撈下針睇下有冇同好😂😭,,,,,,,我知好小眾但有冇人睇棒球日職NPB😂,1,1
NDS！shaw換宿！,逸夫派左來做義士去促進兩地融合，快啲把握機會！,二低換國宿很安靜，適合讀書，可以內地生朋友們一起煮飯食,,,,3,2,,,
__,利申：屋企size滿分，唔係523💔,留翻個宿分俾真正有需要既人把,travelling time得45分鐘 屋企size嗰part冇分... 冇hall住好唔開心,2,3,,,WS Fm唔夠宿分 想住hall,,
__,What’s your name 起曬雞皮,N.flying RooftopCLC Black dress Hwasa TWITMamamoo all,mamamoo all,33,42,,,一人一首好聽kpop歌,,
中大迎新營又出事啦！,唔通你唔係黑衣人？🤔,邊個faculty,性騷擾,3,8,,,,,
OCamp出事 一係劫財一係劫色,其實點解坐完先上訴？,落到案上庭，即係指控有可能真實喎,上年佢都做咗大組長啦…,8,10,,,,,
Gööp 緣份發電站 校園篇💕,垃圾,而家仲有冇開,開左?,4,5,,,,,
first choice 冇面試,無任何email電話,伍宜孫無叫你in?,有同科既second choice有面試最後入到伍宜孫,2,4,,,,,
有冇人入咗宜孫,宜孫halltut~,here😂,,,,5,5,,,
有無女仔想由ihouse單人房換去雙人房？,如題,,,,,,,,1,1
想問下點偷睇自己入咩college😂,噶,Lm,噶你老咩,13,11,,,,,
呢到會唔會識到住公屋既窮女仔,Ching識玩😏,,,,,,,,10,20
不如大家ocamp開幕closing 齊齊戴頭盔？,撐 社會參與機會👍🏻但不應強制性 獨立思維 爸媽唔加壓力就可以,論政唔係大學生論 唔通比小學生論？,屌 講得呢啲野嘅人不嬲都係可以無視架啦,10,11,,,,,
有冇人收到science ocamp detail？😭😭,Whatsapp問啦,Still no😂,🤔,6,14,,,,,
Ocamp,ocamp checklist有黑衫口罩，會唔會帶FM落場？,,,,,,,,1,1
「煙鏟入」中大有咩位可以食煙？,Hall,原來中大人個個都咁健康😢,不過小心生肺癌,4,9,,,,,
__,thx🤣🤣,佢算係幾hea 所以都幾輕鬆,之前讀Chan kin lok 覺得幾好 內容唔會太深 有幾個fd讀過佢都覺得唔錯🤣,24,16,,,就reg科有咩ug course好推介,,
想問唔係讀law點reg law course?,lecture無所謂嘅 無人理,冇reg*,想問下有reg嘅堂可唔可以walkin入去上,4,3,,,,,
有無人收到email 關於理科(大類收生)O camp資訊？,如果星期六日有冇freshman發夢,返工聽唔到電話會點,好啊👌🤓唔該晒😆,6,8,,,,,
點睇ust maec啲人,報稱話 ‘神科’，通常我回佢話我係水泡科，一野串9佢，不過佢地數學真心幾好,,,,,,,,5,1
買ws男宿,求pm🙏🏻,,,,,,,,1,1
上義載車被姦，報警唔報警？,報咗未？,唔報警拉人咪由得個犯繼續喺出面逍遙法外？,問律師好d?,5,5,,,,,
__,推下先,我都好鍾意,月亮與六便士,130,70,,,一人一本好書推介,,
3cred eb/ec 推薦,有冇3cred eb/ec 推薦,,,,,,,,2,1
uged 1551 psychologyof theatre,好想讀/review Sarah Kane 或者其他直面劇場作品，所以想睇reading list同assessment method,求course outline,,,,1,2,,,
有志文，想換紫霞（加錢 + SEM1 only),如題,,,,,,,,1,1
有冇人有shaw男宿 我買,Pm,Pm,Pm,4,6,,,,,
其實有咩反送中tg group／channel可以入,台灣的https://www.dcard.tw/f/hkmacdaily/p/231795257?ref=ios,想同大家討論下有咩可以做 lihkg同公海都唔可靠,+1 我都想知,3,5,,,,,
求seem人解答,exactly 同你一樣情況🙈,Steam 冇用,想知道揀咩stream好？,5,4,,,,,
__,pm,Meeeeee,,,,4,3,有冇人放shaw女宿,,
engine ocamp老鬼話事？,呢頭講完洗乜拉埋 轉頭又擺埋一齊講 你都算goodest logic喎,洗乜扯埋送中博同情啫學你話齋，就算係被欺壓，犯法就要罰！Ron9罰錢，暴徒入獄！放心，會有人「和平」聲援,,,,15,73,,,
收一男宿位,Pm,Pm plz,Pmed,4,7,,,,,
__,Pm!,Pm,Pm傾？,7,5,,,有冇人賣shaw男宿,,
__,未聽聞過,冇人想知,真咩？,3,3,,,jojo 係咪同cs wing (kayee個ex) 齊過？,,
跪求紫霞男宿位🥺換去ihouse，價錢可議。,Pm,有興趣,求pm！價錢可以商量！,1,3,,,,,
想買下年宿位,Yes,Hi,利申：男,3,5,,,,,
Shaw 男宿招roommate,CHUN12300,hi tg？,,,,3,6,,,
上環同元朗冇人留意？？,呢度個政事台依家又入唔到,係goop見到最多都係shaw嘅揾rm....有冇咁冷感,係死黑同死警,3,4,,,,,
shaw 放男宿 全年 $2k up,pm,Hi,pm,8,14,,,,,
請問student helper system個入口喺邊,Yes,個指示話係MyCUHK➡️MyPage度就有，但係搵極都冇係咪要做咗Registration（即係喺MyCUHK提交銀行帳戶果啲資料）先會見到個入口😣,,,,3,2,,,
__,都係shaw 想同你女宿換男宿,祝你揾到換宿嘅人啦,sor 唔好啦 同女住…,6,31,,,女宿交換 NA x Shaw (我係NA),,
大家多數係邊度搵私補？,想問下大家平時係邊度搵私補？試左幾間（hkta、hktutor)都係得好少...跟住仲要比中介抽我兩個禮拜學費做傭金真係好蝕...所以想問下大家平時會係邊度搵補習學生中介費會平啲？早排係fb見到篇文係講啲補習中介，都比較左幾多間：https://bit.ly/2Xuun3r就咁睇好似tutorduck最正路，大家又點睇？介有冇其他選擇？,,,,,,,,1,1
出實習好撚辛苦,做得呢行預左架啦 呢樣野要接受下喎😂😂利申我都系nursing架要加油啊,"唔係nursing但都實習緊,一齊加油❤️",Nursing 實習周做狗無分別，無錢又要俾人點,3,3,,,,,
抽到紫霞好撚爽,上年中左向志文...,紫霞有1/2機會抽到向山同志文🤣🤣🤣🤣,我都抽到 求屌+1,3,4,,,,,
有冇人下年住I house,好遠喎12🙁 不過一齊玩幾正嘅,咁就可以多d local成班喺flat挽好開心既,喺special requirement 寫prefers more local in the same flat,12,40,,,,,
有冇人steam一齊買game玩,rainbow six,有冇人有tabletop simulator 一齊玩。。。,Bus Simulator 2018 ok?,4,4,,,,,
和聲女宿招rm!!,好呀！,Hiii我都係升year3 唔會有蛇 都係想靜d 之前個rm grad左😝 pm傾下？☺️,升yr3~所以唔會成日去玩🥺溫書做野嘅時候 希望有個安靜嘅環境可以接受有蛇 但只接受偶爾一星期1-2次唔接受長住以上嘅事 我保證我都做得到✔️任何detail可以詳談～之前夾開嘅rm住唔到 所以我唔係奇怪嘅人🙈,3,3,,,,,
有冇人已經成功trans科？,Friend received offer from fac of sci already,2 年前 trans 左 from econ to pacc,,,,4,4,,,
__,求蛇主，有酬,meeeee,啱啱先比上年rmmate離棄而家得我一個人 想夾香港人一齊住😭😭夜唔夜瞓都得㗎後日就dead拍房名單了 救救me有意tg: https://t.me/Manching,4,3,,,[極急]湯宿女招rmmate,,
有無UC女想伯宿換陳宿,伯宿三人房 你o唔ok?,Plssss,住開伯宿想繼續住求換😭,2,3,,,,,
湯宿 男 搵人part房,🖐,🖐,有興趣嘅留低telegram啊我會盡快contact你㗎～,2,3,,,,,
其實政府intern係咪好難入,啲同事冇工作經驗都做到,好易入咋喎🤷‍♂️,我係機電署做summer intern,12,13,,,,,
__,唔洗啦 冇join都入到ibank,有無好心師兄師姐可以分享下Deloitte club個group exercise 係會做咩🙇🏻‍♀️🙇🏻‍♀️,,,,4,2,有無人可以分享下Deloitte Club intervie,,
__,同人比比撚死你啊,屌 你同個世界比 點比呀,,,,7,12,個人好灰,,
自學日文,同你而家讀到N幾？,Btw Duolingo係咪真係唔得？,Thanks!,3,8,,,,,
有冇人放shaw女宿,你賣幾錢？,想用幾錢買？,,,,4,2,,,
邊位FTEC ching?,Sad 冇人答到我🙃,有野爆？,似Cherry多啲,6,13,,,,,
Gööp 暑期校園宣傳大使招人啦！,最後召集！報咗名既同學我地都會好快聯絡你地😆,幫我地同嚟緊既fm宣傳gööp🙇‍♂️,想知要做咩,2,5,,,,,
有冇人下年sem1或者去過美國德州exchange,,,,,,,,,,
我唔信有女仔會呢個App 識男仔! 😼,hi 18boy pm,hi,Hi,13,12,,,,,
伯宿換陳宿(女）,唔好意思借個位 想問下ihouse可唔可以換四宿架 thxx,湯宿換唔換😭😭,陳宿換伯宿都得plsss！,6,4,,,,,
UC 有冇陳宿女 想換湯宿？,hello,仲有冇人想換？,我想!!!!!,4,8,,,,,
__,Sem break咁短都番到winter intern?,有冇人報K 記 1 year advisory placement? 收左test 未,有無apt test source😭😭,5,4,,,Big 4 winter intern揮手區,,
我哋點樣唔理政治都好，大家都唔可以唔理《引渡條例》,共產黨太傻了，把罪犯留在香港多好，省點錢抓回來審判多建高鐵,!!!,,,,24,10,,,
幾時會知n展dean list架？,所以系都係統一7月出dean list㗎?,應該過3.5 都夠top 10%,識人上年3.5x都有,8,12,,,,,
[Shaw]想轉大組，想問可以點轉？求高人指點！,程序上可以轉 因為都味正式簡大組👅 不過講聲囉,想講某大組啲core咪又係宿生會 唔通你又話人地圍爐大組？😫😫,你係su既人🤔?,13,14,,,,,
__？,How to contact u,咩係dealer?,1000 hkd 5g,3,4,,,,,
高價買男宿🙏🙏🙏,咩college 咩宿都無所謂 thanks 🙏🙏🙏,,,,,,,,2,1
[shaw] Siu個大組有冇靚女,我,我,Siu,11,7,,,,,
有冇人賣cc女宿？🙏🙏,Pm,Pm,,,,2,2,,,
Non-jupas,大中需要IB Chi HL 7先可以exempt,IB 就讀FN FH 其中一個 + UGEA *,"而fn fh 嗰d 其實唔知佢係點俾😂， 但我見通常AL 就要讀晒FN FH + UGEA, IB 就要FH + UGEA",3,6,,,,,
/UC/ 有冇人派左伯宿想換湯宿（女）,我同我朋友一齊派到湯宿但係想住伯宿，需要兩個伯宿女宿位（非三人房）🤧求,,,,,,,,1,1
__,有冇咩方法可以聯絡你個frd,太好了🤩,有frd想！,2,3,,,有無人想湯宿換陳宿三人房 男,,
乜今年shaw ocamp嘅大組長都咁樣衰,質素每況愈下,因為我冇做,二宿705有個靚仔死都唔參選,9,7,,,,,
有冇人賣湯宿 男？,請留言🙌🏻,,,,,,,,2,1
係NA嘅入黎睇下,就算大家去唔到遊行 都簽一簽名支持大家😭,https://docs.google.com/forms/d/e/1FAIpQLSePkkp6I0mn5WTAeijufKWrg9uUzi07cX66_pvK1WG8o9Yrzw/viewform,,,,5,2,,,
